Yr	13C	18O				
1778.50	-0.75	-4.10
1778.25	-0.43	-4.30
1778.00	-0.04	-4.04
1777.75	-0.30	-3.60
1777.50	-1.07	-4.29
1777.25	-0.88	-4.49
1777.00	-0.49	-4.14
1776.75	-0.66	-3.87
1776.50	-0.55	-4.17
1776.25	-0.51	-4.24
1776.00	-0.85	-4.11
1775.75	-0.42	-3.86
1775.50	-0.93	-4.47
1775.25	-0.71	-4.48
1775.00	-0.62	-4.30
1774.75	-0.44	-3.77
1774.50	-1.32	-4.11
1774.25	-0.88	-4.47
1774.00	-0.60	-4.14
1773.75	0.07	-3.55
1773.50	-0.56	-3.88
1773.25	-0.79	-4.35
1773.00	-0.74	-4.55
1772.75	-0.43	-4.48
1772.50	-0.19	-4.11
1772.25	-0.73	-4.12
1772.00	-0.73	-4.26
1771.75	-0.41	-4.46
1771.50	0.04	-4.06
1771.25	-0.47	-4.16
1771.00	-0.96	-5.39
1770.75	-0.28	-4.69
1770.50	-0.37	-3.92
1770.25	-0.57	-4.20
1770.00	-0.50	-4.35
1769.75	-0.30	-4.25
1769.50	-0.05	-3.76
1769.25	-0.80	-4.10
1769.00	-0.74	-4.37
1768.75	-0.57	-4.51
1768.50	0.04	-3.90
1768.25	-0.68	-4.15
1768.00	-0.57	-4.54
1767.75	-0.58	-4.54
1767.50	0.31	-3.88
1767.25	-0.86	-4.34
1767.00	-1.13	-4.56
1766.75	-0.63	-4.49
1766.50	-0.27	-4.20
1766.25	-0.73	-4.26
1766.00	-0.82	-4.68
