,lat,lon,elevation,species,d18o,d18o_anom,geometry,ocean_temp_anom,year
136,-21.905,113.965,-3,Porites lutea,-4.248333333333333,0.26798850574712674,POINT (113.965 -21.905),-0.04,1883
137,17.93457,67.00123,-5,Montastraea faviolata,-4.4,-0.18640316205533658,POINT (67.00123000000001 17.93457),-0.04,1883
138,18.47,-77.95,-20,Ceratoporella nicholsoni,-0.84,-0.045114285714285884,POINT (-77.95 18.47),-0.04,1883
139,27.85,34.32,-6,Porites sp.,-3.18,0.22536885245901583,POINT (34.32 27.85),-0.04,1883
140,29.42,34.97,-4.5,Porites sp.,-2.7,0.02351219512195124,POINT (34.97 29.42),-0.04,1883
141,27.85,34.32,-6,Porites sp.,-3.1799999999999997,0.22486054421768742,POINT (34.32 27.85),-0.04,1883
142,-14.27,-169.55,,Porites sp.,-4.978655791583333,-0.22034101794843508,POINT (-169.55 -14.27),-0.04,1883
143,-15.0,167.0,,Platygyra lamellina,-4.97,-0.01936781609195304,POINT (167 -15),-0.04,1883
144,-16.82,179.23,-10,Porites sp.,-4.56,-0.01654545454545442,POINT (179.23 -16.82),-0.04,1883
145,-8.25,115.5,-3,Porites sp.,-5.030083333333334,-0.02982675438596516,POINT (115.5 -8.25),-0.04,1883
146,15.94,166.04,8,Porites lutea,-4.829166666666667,-0.02001154618473855,POINT (166.04 15.94),-0.04,1883
147,27.106,142.194,-5.6,Porites sp.,-4.12,0.2031967213114747,POINT (142.194 27.106),-0.04,1883
148,-16.82,179.23,-10,Porites sp.,-4.87,0.06462962962963026,POINT (179.23 -16.82),-0.04,1883
149,7.2859,134.2503,,Porites lutea,-5.5752519905,-0.0053195040077165245,POINT (134.2503 7.2859),-0.04,1883
150,-17.73,148.43,-5,Porites sp.,-4.74,-0.10315789473684323,POINT (148.43 -17.73),-0.04,1883
151,1.5,124.83,-3,Porites sp.,-5.0876166666666665,0.049949713740458535,POINT (124.83 1.5),-0.04,1883
152,13.598,144.836,-7.8,Porites lobata,-4.931666666666667,0.07944181147972618,POINT (144.836 13.598),-0.04,1883
153,27.106,142.194,-5.6,Porites sp.,-4.12,0.2012818428184282,POINT (142.194 27.106),-0.04,1883
154,-22.1,153.0,-10,Porites australiensus,-5.1,-0.03922155688622819,POINT (153 -22.1),-0.04,1883
155,-22.1,153.0,-10,Porites australiensis,-4.058,0.16377794411177682,POINT (153 -22.1),-0.04,1883
156,1.0,173.0,-6,,-4.142549659166667,0.30978655926075316,POINT (173 1),-0.04,1883
157,-0.4084,-91.234,-3,Pavona clavus,-3.79,0.23756906077348106,POINT (-91.23399999999999 -0.4084),-0.04,1883
158,3.906228,-159.285932,,,-4.69,0.20519345238095177,POINT (-159.285932 3.906228),-0.04,1883
159,-21.2378,-159.8278,,Porites lutea,-4.343,-0.05348799999999976,POINT (-159.8278 -21.2378),-0.04,1883
160,-21.2378,-159.8278,,Porites lutea,-4.345,-0.052562335958004525,POINT (-159.8278 -21.2378),-0.04,1883
161,10.3,-109.216667,-2,Porites lobata,-5.4149632795,-0.05933765411648473,POINT (-109.216667 10.3),-0.04,1883
162,-17.5,-149.83,,Porites lutea,4.064285714285714,-0.11605615507593914,POINT (-149.83 -17.5),-0.04,1883
163,-17.5,-149.83,,Porites lutea,-4.07,0.10949640287769746,POINT (-149.83 -17.5),-0.04,1883
164,7.983,-82.05,-3,Porites lobata,-5.662727272727273,0.1425733138264622,POINT (-82.05 7.983),-0.04,1883
165,-21.2378,-159.8278,,Porites lutea,-4.34,-0.08387915129151224,POINT (-159.8278 -21.2378),-0.04,1883
166,16.84,112.33,,,-5.373349999999999,0.047859124472574344,POINT (112.33 16.84),-0.04,1883
167,32.0,-64.0,-16,Diploria labyrinthiformis,-3.547,0.1013271889400924,POINT (-64 32),-0.14,1884
168,24.917,-80.757778,-5,Solenastrea bournoni,-2.49,0.10172839506172826,POINT (-80.757778 24.917),-0.14,1884
169,32.0,-64.0,-16,Diploria labyrinthiformis,-3.266,0.15207798165137598,POINT (-64 32),-0.14,1884
170,25.38,-80.17,-10,Montastraea faveolata,-3.52,0.041525423728813404,POINT (-80.17 25.38),-0.14,1884
171,-23.15,43.58,-1.1,Porites lobata,-4.510000000000001,-0.08441641938674671,POINT (43.58 -23.15),-0.14,1884
172,-23.15725,43.588183,-1.8,Porites sp.,-4.426,0.0691902654867258,POINT (43.588183 -23.15725),-0.14,1884
173,-28.4617,113.7683,-5,Porites lutea,-3.8595596575,0.015847084590000282,POINT (113.7683 -28.4617),-0.14,1884
174,-23.142967,43.583067,-1.1,Porites sp.,-4.517013833,-0.08523226011044827,POINT (43.583067 -23.142967),-0.14,1884
175,-28.4617,113.7683,-5,Porites lutea,-3.8483717096999994,0.026858069339580126,POINT (113.7683 -28.4617),-0.14,1884
176,-12.65,45.1,,Porites solida,-4.833166666666667,0.05159237726098187,POINT (45.1 -12.65),-0.14,1884
177,-4.616167,55.0,-7,Porites lutea,-4.53475,0.18290777777777745,POINT (55 -4.616167),-0.14,1884
178,-3.0,40.0,-6,Porites lutea,-4.314,0.07696907216494786,POINT (40 -3),-0.14,1884
179,-21.03,55.25,-12.3,Porites sp.,-4.1000000000000005,0.17511585365853577,POINT (55.25 -21.03),-0.14,1884
180,-21.905,113.965,-3,Porites lutea,-4.233333333333333,0.2829885057471264,POINT (113.965 -21.905),-0.14,1884
181,17.93457,67.00123,-5,Montastraea faviolata,-4.53,-0.3164031620553365,POINT (67.00123000000001 17.93457),-0.14,1884
182,27.85,34.32,-6,Porites sp.,-3.23,0.175368852459016,POINT (34.32 27.85),-0.14,1884
183,29.42,34.97,-4.5,Porites sp.,-2.67,0.05351219512195149,POINT (34.97 29.42),-0.14,1884
184,27.85,34.32,-6,Porites sp.,-3.2283333333333335,0.17652721088435364,POINT (34.32 27.85),-0.14,1884
185,-14.27,-169.55,,Porites sp.,-4.955005787833334,-0.1966910141984357,POINT (-169.55 -14.27),-0.14,1884
186,-15.0,167.0,,Platygyra lamellina,-5.11,-0.1593678160919536,POINT (167 -15),-0.14,1884
187,-16.82,179.23,-10,Porites sp.,-4.46,0.08345454545454523,POINT (179.23 -16.82),-0.14,1884
