Year	Ifaty4_SrCa	Ifaty4_d18O	Zimbabwe_rainfall_recon	Kalahari_precip	Eastern_Cape_precip	Lesotho_precip	Mayotte	Ifaty1_SrCa	Ifaty1_d18O
1917	8.837192	-4.6216484	530.12	-1	1	-2	-4.9377377	8.622192	-4.286192
1918	8.917192	-4.5737912	749.97	-1	-1	-2	-4.7737363	8.645192	-4.325192
1919	8.872192	-4.2831868	545.1	-1	-1	-2	-4.8744945	8.741192	-4.424192
1920	8.905192	-4.4603279	567.48	1	-1	-1	-4.8204945	8.652192	-4.375192
1921	8.940192	-4.5686813	510	0	0	-2	-4.830765	8.710192	-4.280192
1922	8.914192	-4.5387363	436.1	-2	0	0	-4.8996703	8.721192	-4.551192
1923	8.902192	-4.5245604	456.01	0	2	-1	-4.8047253	8.690193	-4.363192
1924	8.850193	-4.4923497	386.42	-2	-1	-1	-4.8249725	8.690193	-4.419192
1925	8.923193	-4.5947253	590.26	2	-2	0	-4.7509836	8.663193	-4.373193
1926	8.929193	-4.6938462	446.36	0	-1	0	-4.926011	8.667193	-4.567193
1927	8.879193	-4.5890659	421.73	-1	-1	-1	-4.919011	8.703193	-4.432193
1928	8.896193	-4.4107104	471	1	-1	0	-4.9276099	8.755193	-4.607193
1929	8.884193	-4.5872527	566.66	0	-2	-1	-5.032623	8.764193	-4.353193
1930	8.836193	-4.5065934	491.73	1	-1	1	-5.0041209	8.690193	-4.428193
1931	8.847193	-4.4795604	529.5	-2	-1	-2	-5.0433516	8.707193	-4.366193
1932	8.848193	-4.4319672	389.5	-2	0	-2	-5.0852912	8.762193	-4.427193
1933	8.857193	-4.3967033	517.6	-2	-2	-2	-5.0996885	8.702193	-4.423193
1934	8.866193	-4.4977473	466.48	0	0	1	-4.9254945	8.703194	-4.306193
1935	8.901194	-4.3962088	596.01	-1	2	-1	-4.9174615	8.647194	-4.256194
1936	8.845194	-4.6654098	549.41	-2	0	-2	-5.0428022	8.637194	-4.333194
1937	8.886194	-4.6664835	524.99	-1	-1	1	-4.9979781	8.656194	-4.611194
1938	8.850194	-4.4835165	503.84	0	0	-2	-5.0708791	8.630194	-4.585194
1939	8.833194	-4.7295055	551.88	-1	-1	-1	-5.0486264	8.681194	-4.506194
1940	8.815194	-4.6788525	430.15	0	-1	1	-5.0243407	8.709194	-4.497194
1941	8.829194	-4.6571429	381.5	2	2	-1	-4.9967486	8.692194	-4.689194
1942	8.816194	-4.7478571	410.85	-1	-1	-1	-4.9517912	8.727194	-4.588194
1943	8.872194	-4.6993407	474.9	1	2	0	-4.9757308	8.667195	-4.458194
1944	8.885195	-4.6720219	628.44	1	-1	1	-4.8944176	8.726195	-4.760194
1945	8.922195	-4.4759341	368.36	-2	-1	-2	-4.8424973	8.715195	-4.639195
1946	8.866195	-4.5299451	558.86	-1	-2	-1	-4.9492637	8.801195	-4.343195
1947	8.836195	-4.5519231	366.31	-1	0	-2	-4.9960824	8.696195	-4.433195
1948	8.865195	-4.7648634	501.58	-1	0	-1	-4.9505165	8.763195	-4.368195
1949	8.833195	-4.5493407	407.16	-1	1	-2	-5.0515683	8.678195	-4.608195
1950	8.897195	-4.7496154	529.71	-1	-1	1	-4.9285165	8.693195	-4.642195
1951	8.799195	-4.5160989	503.43	1	-1	-2	-4.9169945	8.730195	-4.675195
1952	8.831195	-4.7547541	552.9	-1	0	-1	-4.9796209	8.691195	-4.477195
1953	8.845195	-4.7664835	561.52	1	2	0	-5.0458306	8.730196	-4.456195
1954	8.887196	-4.5340659	410.03	0	2	-1	-5.1486264	8.681196	-4.607195
1955	8.829196	-4.6797802	599.5	0	1	2	-5.0893791	8.744196	-4.214195
1956	8.868196	-4.7494536	384.78	0	1	-1	-5.0825604	8.700196	-4.592196
1957	8.859196	-4.5537363	499.74	-1	0	-1	-5.065	8.709196	-3.984196
1958	8.813196	-4.7631319	560.7	-1	-2	1	-5.0098132	8.655196	-4.466196
1959	8.889196	-4.7335165	499.12	-2	0	-1	-4.982978	8.716196	-4.675196
1960	8.800196	-4.6384153	525.19	0	2	1	-5.0555495	8.741196	-4.625196
1961	8.770196	-4.7802198	691.05	0	-2	-2	-4.994153	8.665196	-4.480196
1962	8.819196	-4.6528571	431.58	1	-1	1	-4.9955714	8.698196	-4.407196
1963	8.818196	-4.743022	535.25	-1	1	-2	-4.8559451	8.717197	-4.516196
1964	8.817196	-4.6306557	521.29	-2	0	-2	-4.9868571	8.727197	-4.676196
1965	8.816197	-4.7351648	497.68	-2	0	-1	-4.9687705	8.754197	-4.555197
1966	8.852197	-4.574011	522.11	-1	-2	-1	-5.0434066	8.732197	-4.479197
