# Lombok Strait, Indonesia, Porites d18O data covering the last 200 years
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/25290
#       Description: NOAA Landing Page
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/coral/west_pacific/murty2018/Murty.LombokStrait.NusaPenida.2018.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 1.0.0 of this dataset.
#
# Original_Source_URL: 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
# Parameter_Keywords: oxygen isotopes
# 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 2018-10-01
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2018-10-01
#------------------
# Title
#     Study_Name: Lombok Strait, Indonesia, Porites d18O data covering the last 200 years
#------------------
# Investigators
#     Investigators: Murty, Sujata; Goodkin, Nathalie; Wiguna, Alit; Gordon, Arnold
#------------------
# Description_Notes_and_Keywords
#     Description: Monthly and bimonthly d18O measurements of a Porites coral collected from Nusa Penida in the southern Lombok Strait. The d18O data were determined using isotope ratio mass spectrometry (IRMS)
#------------------
# Publication
#     Authors: 
#     Published_Date_or_Year: 
#     Published_Title: 
#     Journal_Name: 
#     Volume: 
#     Edition: 
#     Issue: 
#     Pages: 
#     Report: 
#     DOI: 
#     Online_Resource: 
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Research Foundation of Singapore
#     Grant: NRFF-2012-03
#------------------
# Funding_Agency
#     Funding_Agency_Name: National Oceanic and Atmospheric Administration
#     Grant: UCAR-Z15-17551
#------------------
# Site_Information
#     Site_Name: Nusa Penida
#     Location: Asia>Southeastern Asia>Indonesia
#     Country: Indonesia
#     Northernmost_Latitude: -8.67
#     Southernmost_Latitude: -8.67
#     Easternmost_Longitude: 115.51
#     Westernmost_Longitude: 115.51
#     Elevation: -5
#------------------
# Data_Collection
#     Collection_Name: Murty.LombokStrait.NusaPenida.2018
#     Earliest_Year: 1824.04
#     Most_Recent_Year: 2016.25
#     Time_Unit: year CE
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology_Section
#  Chronology:
#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components 
#
## age	age,,,year Common Era,,corals and sclerosponges,interpolated,,N,   
## d18O_porite	delta 18O, Porites sp.,,per mil VPDB, ,corals and sclerosponges, interpolated, isotope ratio mass spectrometry, N,    
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
age	d18O_porite
1985.67	-4.997188469	
1985.58	-4.972745211	
1985.50	-5.07829765	
1985.42	-5.300289181	
1985.33	-5.491595204	
1985.25	-5.657726699	
1985.17	-5.56729902	
1985.08	-5.391491118	
1985.00	-5.130673388	
1984.92	-5.031028314	
1984.83	-4.979588966	
1984.75	-4.830752282	
1984.67	-4.798026778	
1984.58	-4.942104437	
1984.50	-4.981921813	
1984.42	-5.29201367	
1984.33	-5.550828833	
1984.25	-5.343075071	
1984.17	-5.103922133	
1984.08	-5.214553647	
1984.00	-5.194213375	
1983.92	-5.240554923	
1983.83	-5.188992805	
1983.75	-5.17296746	
1983.67	-5.224851975	
1983.58	-5.283634114	
1983.50	-5.217332217	
1983.42	-5.417536381	
1983.33	-5.441698799	
1983.25	-5.704482422	
1983.17	-5.70753787	
1983.08	-5.63725433	
1983.00	-5.542652088	
1982.92	-5.306464793	
1982.83	-5.10750631	
1982.75	-5.092838165	
1982.67	-4.96516932	
1982.58	-5.003176137	
1982.50	-5.090202489	
1982.42	-5.241761103	
1982.33	-5.485291561	
1982.25	-5.291521242	
1982.17	-5.490292092	
1982.08	-5.154440661	
1982.00	-5.106496097	
1981.92	-4.952066992	
1981.83	-4.927289693	
1981.75	-4.932756701	
1981.67	-5.004024812	
1981.58	-5.132232727	
1981.50	-5.245558724	
1981.42	-5.439832768	
1981.33	-5.474860442	
1981.25	-5.623427201	
1981.17	-5.511560862	
1981.08	-5.138183651	
1981.00	-5.037780759	
1980.92	-4.9479675	
1980.83	-5.091807874	
1980.75	-5.25744163	
1980.67	-5.232870023	
1980.58	-5.215444979	
1980.50	-5.3120564	
1980.42	-5.436090454	
1980.33	-5.496008779	
1980.25	-5.545241064	
1980.17	-5.528306343	
1980.08	-5.156197126	
1980.00	-4.981116304	
1979.92	-4.99672532	
1979.83	-4.820468596	
1979.75	-4.831403752	
1979.67	-4.864646211	
1979.58	-4.932372612	
1979.50	-5.12407061	
1979.42	-5.567224431	
1979.33	-5.78410607	
1979.25	-5.7287607	
1979.17	-5.63725494	
1979.08	-5.426114338	
1979.00	-5.009390636	
1978.92	-4.939934203	
1978.83	-4.949173494	
1978.75	-4.769354799	
1978.67	-4.780213921	
1978.58	-4.907427938	
1978.50	-4.99975943	
1978.42	-5.058637436	
1978.33	-5.301105024	
1978.25	-5.423736849	
1978.17	-5.676746143	
1978.08	-5.3976287	
1978.00	-5.48323618	
1977.92	-5.096276483	
1977.83	-5.006964026	
1977.75	-5.095636698	
1977.67	-5.068186994	
1977.58	-5.135423243	
1977.50	-5.252319469	
1977.42	-5.639545129	
1977.33	-5.770563937	
1977.25	-5.540267375	
1977.17	-5.281350439	
1977.08	-5.296425629	
1977.00	-5.166888804	
1976.92	-5.107658353	
1976.83	-4.987680302	
1976.75	-4.989488517	
1976.67	-5.033377341	
1976.58	-4.98867363	
1976.50	-5.006220658	
1976.42	-5.077851628	
1976.33	-5.213070774	
1976.25	-5.4269135	
1976.17	-5.611068354	
1976.08	-5.439777652	
1976.00	-5.226759627	
1975.92	-5.163859455	
1975.83	-5.004976156	
1975.75	-5.068382655	
1975.67	-5.015159503	
1975.58	-5.082118066	
1975.50	-5.309411222	
1975.42	-5.464602759	
1975.33	-5.617820344	
1975.25	-5.4744854	
1975.17	-5.227402348	
1975.08	-5.068070124	
1975.00	-5.054152303	
1974.92	-4.859176201	
1974.83	-4.926054514	
1974.75	-4.876270389	
1974.67	-4.832900011	
1974.58	-4.869993871	
1974.50	-4.818257386	
1974.42	-4.97827275	
1974.33	-5.272485042	
1974.25	-5.519216085	
1974.17	-5.528415909	
1974.08	-5.591326515	
1974.00	-5.198712141	
1973.92	-5.267657671	
1973.83	-5.163856451	
1973.75	-4.96903161	
1973.67	-5.028285328	
1973.58	-4.896370456	
1973.50	-4.994637458	
1973.42	-5.272530708	
1973.33	-5.45416625	
1973.25	-5.470189447	
1973.17	-5.426962234	
1973.08	-5.117405851	
1973.00	-5.048213705	
1972.92	-4.887660299	
1972.83	-4.747026759	
1972.75	-4.904545721	
1972.67	-4.945228732	
1972.58	-4.874012924	
1972.50	-4.97931319	
1972.42	-5.185163255	
1972.33	-5.469313331	
1972.21	-5.047918437	
1972.04	-4.761568271	
1971.88	-4.71466961	
1971.71	-4.790876926	
1971.54	-4.76778365	
1971.38	-4.958706021	
1971.21	-5.199886728	
1971.04	-5.068143938	
1970.88	-4.955921293	
1970.71	-4.967275244	
1970.54	-5.127039967	
1970.38	-5.236917641	
1970.21	-5.422680288	
1970.04	-5.255596588	
1969.88	-5.16999806	
1969.71	-5.013595431	
1969.54	-4.988503513	
1969.38	-5.420362793	
